Method Forcing Response AV_ergodic_mean AV_linear_response N_samples
SINGLE 300.0 21.65648048574614 11362.492112945714 0.1262499123660635 10099999
TWO 300.0 22.840202011421475 7594.844021951527 0.0843871557994614 3599999
COLOR 4.0 0.4843445870231461 303.01269573105884 18.938293483191178 23799999
SINGLE 4.0 0.4856304119773678 325.6864910731262 20.355405692070388 33299999
TWO 4.0 0.4727034580054786 329.2854468518162 20.58034042823851 20199999
COLOR 40.0 4.912216783513237 514.1107398657074 0.3213192124160671 22599999
SINGLE 40.0 4.763932373866368 980.3355604637692 0.6127097252898558 21399999
TWO 40.0 4.853784225778568 787.7702162653337 0.4923563851658336 101499999
COLOR 400.0 46.241280780088545 32680.299704046854 0.20425187315029283 8399999
SINGLE 400.0 25.454672639873998 13584.444154999086 0.08490277596874429 10199999
TWO 400.0 27.025982913826766 8613.315900854435 0.053833224380340224 3599999
COLOR 5.0 0.6056349987070321 289.02432747395045 11.560973098958018 21899999
SINGLE 5.0 0.6130905897999205 365.1428416754661 14.605713667018644 32999999
TWO 5.0 0.6127351777318651 310.07878679705243 12.403151471882097 20099999
COLOR 50.0 6.196635255356751 637.0333460765205 0.2548133384306082 23099999
SINGLE 50.0 5.80570045437954 1313.8870067121009 0.5255548026848403 22499999
TWO 50.0 5.934691414081056 1015.9297493155166 0.40637189972620663 99799999
COLOR 500.0 53.07159818668089 18957.08519261453 0.07582834077045812 8299999
SINGLE 500.0 28.802698218259795 14942.858211985911 0.059771432847943645 10699999
TWO 500.0 30.787965404007558 10278.951874592329 0.041115807498369315 3599999
COLOR 6.0 0.7227925813707602 292.27732162606435 8.118814489612898 21699999
SINGLE 6.0 0.7405734434389915 394.8865485206596 10.969070792240544 31999999
TWO 6.0 0.7295513288555978 343.6792301461452 9.546645281837366 22899999
COLOR 60.0 7.513030490782873 967.8449544977498 0.2688458206938194 20499999
SINGLE 60.0 6.8414807974763345 1718.3624824235835 0.47732291178432873 22299999
TWO 60.0 6.969585566419612 1397.6436922142552 0.38823435894840425 100699999
COLOR 600.0 59.06832895774217 22369.10463281891 0.062136401757830306 8399999
SINGLE 600.0 31.840358086408962 16286.269991097044 0.04523963886415846 10099999
TWO 600.0 34.02743722756725 10344.2625749305 0.02873406270814028 3599999
COLOR 7.0 0.8511801594924908 313.55420409216924 6.399065389636107 23899999
SINGLE 7.0 0.8627551691561144 404.5500509230171 8.256123488224839 32599999
TWO 7.0 0.8447548653241655 359.4541216792438 7.335798401617221 20199999
COLOR 70.0 8.87108727948343 1342.4315856157596 0.27396562971750194 20399999
SINGLE 70.0 7.819654784211547 2326.9244010024145 0.4748825308168193 22299999
TWO 70.0 7.962973582350029 1938.9455515702155 0.3957031737898399 102699999
COLOR 700.0 64.67689047710583 16255.460833205107 0.03317440986368389 8199999
SINGLE 700.0 34.64947444174436 18105.536869012856 0.03695007524288338 10299999
TWO 700.0 37.208379701016824 12080.601004107513 0.02465428776348472 3699999
COLOR 8.0 0.9675075550052281 307.97538055636824 4.812115321193254 23999999
SINGLE 8.0 0.9862207237056607 413.3310821107701 6.458298157980783 33799999
TWO 8.0 0.9710503680412157 336.5030769044574 5.2578605766321465 20099999
COLOR 80.0 10.280442970810451 1997.0017320605862 0.3120315206344666 20399999
SINGLE 80.0 8.754288276475828 2909.754894594897 0.45464920228045264 22099999
TWO 80.0 8.91953567324934 2681.0650428143726 0.41891641293974574 101799999
COLOR 800.0 69.87321118736115 18753.953595487452 0.029303052492949143 8299999
SINGLE 800.0 37.26172616312629 18286.089242989947 0.028572014442171792 3799999
TWO 800.0 40.03749197953147 12536.51699553225 0.01958830780551914 3599999
COLOR 9.0 1.0888390476119512 305.78999178038873 3.775185083708503 22099999
SINGLE 9.0 1.1201509156953227 419.2387397057055 5.175786909946981 32399999
TWO 9.0 1.1002692446337448 376.56459915340156 4.648945668560513 22899999
COLOR 90.0 11.691255381468228 2526.8235873693543 0.31195352930485853 20399999
SINGLE 90.0 9.646789382677797 3627.022921141513 0.44778060754833493 21899999
TWO 90.0 9.835931824188831 3269.1015849178975 0.4035927882614688 102499999
COLOR 900.0 74.62415647069103 15546.99147564107 0.019193816636593915 8099999
SINGLE 900.0 39.674965530098575 20083.72016530055 0.024794716253457468 999999
TWO 900.0 42.670030192839235 12407.953630149277 0.01531846127178923 3599999
