Method Forcing Response AV_ergodic_mean AV_linear_response N_samples
TWO 249.9910070628296 20.0 2.8648677752082744e6 0.29340467502037404 25099999
COLOR 24.714565071528586 3.0 19957.035447493115 0.4814227946977136 4499999
SINGLE 25.039241731421473 3.0 59591.22057838303 1.3643949357895262 5199999
TWO 24.676304375455018 3.0 42601.104132702385 1.0340532184350952 26299999
COLOR 221.95084613776731 30.0 578924.4540042614 0.2147025408899792 3299999
SINGLE 579.5733329842378 30.0 1.1960587391044974e7 0.09540286985835149 6899999
TWO 497.6556379284862 30.0 7.861957026467321e6 0.11536058796978171 21399999
COLOR 32.7086565111935 4.0 21646.56440271693 0.3025924837148758 4299999
SINGLE 33.94202489150677 4.0 91378.74739494424 1.101575308363232 5299999
TWO 33.13272279755106 4.0 59598.69348759842 0.7912764016536495 23999999
COLOR 320.98520658332865 40.0 1.136366485257488e6 0.17127671707254713 3299999
SINGLE 979.1983727451235 40.0 2.672073013615392e7 0.04650349258746207 6899999
TWO 827.287867944334 40.0 1.3217873316566957e7 0.04514970798672065 2099999
COLOR 40.728737990251624 5.0 25890.2939508752 0.23521942096253529 4499999
SINGLE 43.68575787818937 5.0 132329.1522965471 0.9083140695747034 5199999
TWO 42.041960843860195 5.0 85674.4029949977 0.68558173997265 26199999
COLOR 456.18744715788705 50.0 1.7504703366030531e6 0.1010465386966815 3299999
SINGLE 1471.6738839908887 50.0 5.153830817039248e7 0.02746779734176086 7099999
TWO 1230.2555456659945 50.0 2.2539535013538368e7 0.024598217398719466 699999
COLOR 48.63542433873724 6.0 25650.93275332894 0.16504213204447782 4399999
SINGLE 53.621303128893146 6.0 185484.83252911948 0.8077211338546616 5299999
TWO 51.62102518360009 6.0 113960.52592366838 0.5777639555411751 24099999
COLOR 615.744951421566 60.0 2.845459693150378e6 0.07126093233433456 3399999
COLOR 56.03242412519939 7.0 31458.32087884555 0.15637739390528507 4399999
SINGLE 64.07693158847273 7.0 257784.43648968622 0.7492831160265417 5199999
TWO 61.57984969458864 7.0 155067.75503893083 0.5284003315205176 23999999
COLOR 805.4718240914999 70.0 4.221274025178482e6 0.04914034632647247 3299999
COLOR 63.608528236335 8.0 36214.91255419895 0.14158134268051464 4399999
